CustomerID,TotalSpend,TransactionFrequency,TotalItems,ProductVariety
12470.0,211.95,1,95,23
12471.0,20129.54,49,8658,159
12472.0,11308.48,13,7202,312
12474.0,5048.66,13,3107,197
12475.0,426.26,1,236,25
12476.0,7267.49,12,3223,225
12477.0,7056.63,3,2466,209
12480.0,2183.2200000000003,3,1245,79
12481.0,6765.07,6,3949,139
12482.0,23691.4,29,27042,42
12483.0,2612.2000000000003,11,1050,35
12484.0,1826.78,6,1079,110
12485.0,708.1,1,414,34
12486.0,1037.28,1,523,49
12487.0,285.29999999999995,1,174,2
12490.0,4405.71,11,2842,117
12492.0,452.0,1,252,22
12494.0,626.77,3,281,28
12495.0,357.4,1,130,17
12496.0,45.34,2,30,10
12497.0,5205.400000000001,2,4449,30
12499.0,393.72,1,302,27
12500.0,1697.39,8,699,61
12503.0,1126.0,1,561,2
12504.0,297.0,2,368,8
12505.0,955.2,1,324,42
12507.0,539.25,1,362,28
12510.0,4195.45,7,1696,85
12511.0,3084.02,1,1753,190
12514.0,580.08,1,400,33
12516.0,1336.56,2,1077,38
12519.0,385.7,1,212,22
12523.0,2562.58,12,1398,105
12524.0,6640.39,9,3479,65
12525.0,973.73,3,509,56
12527.0,386.8,2,292,13
12529.0,316.48,1,192,21
12530.0,2096.98,5,1800,66
12531.0,1807.98,1,1074,110
12533.0,1367.89,2,704,63
12537.0,732.94,1,449,43
12538.0,276.5,1,145,13
12539.0,5646.400000000001,3,2468,127
12540.0,8854.25,16,4334,171
12542.0,481.88,2,522,39
12543.0,980.25,1,688,43
12547.0,175.78,1,175,13
12549.0,1575.68,6,1366,38
12553.0,916.47,2,360,39
12554.0,468.5,1,240,26
12555.0,129.23,1,1,1
12557.0,6725.18,4,2398,15
12562.0,1185.18,2,548,33
12563.0,249.24,1,113,13
12567.0,4308.58,7,1781,146
12568.0,70.0,1,48,5
12570.0,77.52,1,1,1
12573.0,556.87,4,395,83
12575.0,622.8199999999999,2,315,34
12576.0,826.89,3,527,51
12577.0,990.5,5,722,144
12578.0,1847.94,2,1184,53
12580.0,637.2,1,331,34
12582.0,1469.04,2,685,79
12583.0,7166.0599999999995,13,3924,87
12586.0,1865.73,3,608,76
12588.0,743.88,3,385,27
12589.0,4048.98,6,1458,100
12591.0,886.1,2,425,38
12592.0,2145.06,3,1585,32
12594.0,1751.89,5,991,60
12595.0,299.02,1,271,19
12598.0,1511.01,3,942,69
12599.0,1264.14,6,1233,37
12600.0,2444.88,12,640,32
12601.0,104.19999999999999,1,45,6
12605.0,1232.95,4,929,63
12606.0,21.0,1,1,1
12608.0,415.79,1,323,16
12609.0,2309.01,6,905,84
12613.0,3472.9900000000002,5,2513,132
12615.0,3449.79,4,1941,147
12616.0,417.8,1,214,22
12619.0,140.14,1,140,10
12621.0,11086.14,16,6493,163
12623.0,3442.7400000000002,6,1780,109
12625.0,2481.06,2,1697,85
12629.0,1558.22,2,722,40
12631.0,2841.07,5,1371,105
12632.0,804.88,2,694,32
12633.0,3514.18,3,2076,182
12634.0,490.0,2,337,20
12635.0,1241.23,2,777,77
12636.0,141.0,1,1,1
12637.0,2280.91,4,1263,162
12638.0,249.8,1,86,9
12639.0,826.27,2,430,39
12643.0,4960.18,6,2857,14
12644.0,1440.58,3,707,76
12645.0,1764.12,4,1041,72
12647.0,14218.48,27,5448,218
12648.0,793.95,3,358,32
12649.0,1671.1399999999999,5,1373,75
12651.0,263.75,3,187,21
12652.0,97.05000000000001,1,31,3
12653.0,1950.98,1,762,43
12655.0,261.35,1,80,16
12656.0,2356.66,3,1137,108
12661.0,162.0,1,216,11
12662.0,3138.2400000000002,10,1523,94
12663.0,239.4,2,181,9
12664.0,1188.16,2,292,4
12665.0,250.6,2,128,13
12666.0,1248.42,1,370,31
12668.0,7575.88,6,3415,233
12670.0,764.24,2,230,21
12671.0,2622.481,1,1460,45
12672.0,211.15,1,60,12
12673.0,619.5,1,349,32
12675.0,957.25,2,336,111
12676.0,1511.7,5,1197,47
12677.0,395.1,2,176,13
12678.0,16652.72,9,11449,140
12681.0,17080.74,24,10060,341
12682.0,11745.69,23,5443,210
12683.0,4220.21,8,2696,143
12686.0,89.14,1,107,7
12687.0,2138.91,2,1403,126
12691.0,134.6,1,51,7
12692.0,110.95,1,36,13
12693.0,847.11,3,281,35
12694.0,973.68,1,846,46
12695.0,825.02,3,234,28
12696.0,851.91,2,564,43
12698.0,339.75,1,111,16
12699.0,638.11,1,373,41
12701.0,1648.7,4,1049,80
12703.0,722.98,3,431,44
12705.0,4893.81,5,3191,196
12708.0,2601.19,9,1214,80
12709.0,21107.94,20,9999,152
12711.0,1339.05,2,770,56
12712.0,2797.53,10,1287,99
12714.0,9384.85,7,5705,324
12717.0,277.93,1,94,16
12720.0,2478.94,6,1645,129
12721.0,1356.95,2,696,73
12724.0,1286.11,3,934,66
12725.0,2266.76,4,1142,92
12726.0,1405.5,4,1475,30
12727.0,1698.8300000000002,3,734,44
12728.0,233.84,1,124,15
12730.0,829.25,1,234,47
12731.0,6879.8,5,3204,72
12733.0,2040.92,3,759,106
12734.0,529.25,2,177,13
12737.0,3710.5,2,2,2
12738.0,155.35,1,148,11
12739.0,1713.69,2,465,51
12741.0,406.07,2,214,16
12742.0,1201.52,1,1359,67
12744.0,4037.77,4,1753,110
12745.0,925.41,3,468,21
12746.0,254.55,1,97,17
12747.0,5055.03,16,1473,67
12748.0,22489.69,144,13109,1342
12749.0,2806.48,4,889,121
12751.0,268.27,1,189,61
12755.0,5218.709999999999,10,2290,31
12758.0,7111.650000000001,5,4020,146
12759.0,3489.3,5,2300,151
12760.0,347.8,1,198,21
12761.0,782.95,2,281,27
12763.0,320.08,1,196,16
12765.0,1404.58,6,1009,49
12766.0,3078.65,3,1800,132
12767.0,949.82,1,598,43
12768.0,168.69000000000003,1,102,10
12770.0,1895.0,1,1100,16
12771.0,282.3,1,104,15
12773.0,124.25,1,109,6
12774.0,98.7,1,53,6
12775.0,300.08,2,206,13
12776.0,55.5,1,46,4
12777.0,519.45,1,458,26
12778.0,953.45,3,910,55
12779.0,2740.91,7,1617,84
12780.0,337.4,1,285,20
12782.0,2287.32,6,931,94
12784.0,1230.33,1,582,72
12785.0,788.45,2,322,36
12786.0,728.5,1,324,18
12787.0,398.52,1,249,24
12788.0,444.9,4,194,20
12789.0,181.5,2,32,2
12790.0,266.93,1,140,16
12791.0,863.51,6,353,17
12792.0,426.47,1,177,22
12793.0,471.85,2,231,23
12796.0,381.0,1,182,7
12797.0,552.08,2,215,27
12798.0,1533.8899999999999,1,3199,25
12799.0,219.35,1,137,15
12800.0,584.25,3,284,31
12801.0,1071.82,1,505,50
12802.0,1988.84,6,1658,89
12803.0,1092.81,1,872,55
12804.0,325.37,2,270,60
12805.0,1434.95,4,593,44
12806.0,2878.96,4,2087,58
12807.0,330.35,1,145,16
12808.0,422.45,3,187,26
12809.0,1266.63,2,298,52
12810.0,534.99,2,389,32
12811.0,519.05,2,205,23
12813.0,1687.8,3,1141,37
12817.0,524.94,2,166,16
12819.0,540.52,1,344,19
12820.0,1747.18,7,1242,87
12821.0,128.07999999999998,1,92,7
12823.0,4742.0,13,700,1
12825.0,518.63,2,139,20
12826.0,1481.03,6,937,53
12829.0,92.30000000000001,1,174,8
12831.0,236.06,2,168,13
12835.0,5996.83,41,2349,138
12836.0,3949.37,11,1169,173
12837.0,528.5600000000001,1,170,73
12838.0,2694.75,9,1479,177
12839.0,4480.31,13,3042,112
12840.0,1315.2,3,747,57
12841.0,3472.61,17,2609,154
12842.0,799.0,2,340,13
12843.0,4881.1,22,2247,77
12844.0,322.64,2,98,43
12846.0,15.58,1,1,1
12847.0,765.36,1,624,34
12848.0,208.0,1,58,16
12849.0,2032.18,4,1258,80
12850.0,330.0,1,200,2
12851.0,148.95,1,51,30
12853.0,1950.4,5,868,58
12854.0,1654.72,4,1004,120
12855.0,612.84,4,240,65
12857.0,2581.6,4,1077,46
12858.0,147.26999999999998,1,51,36
12859.0,575.1,1,292,21
12860.0,54.22,1,26,16
12861.0,68.25,1,27,4
12862.0,984.62,2,611,119
12863.0,2271.35,5,707,23
12864.0,152.45,1,231,4
12865.0,1755.24,2,1048,93
12866.0,668.23,2,382,34
12867.0,3819.92,6,3592,260
12868.0,640.0,3,354,30
12869.0,337.67,1,144,35
12870.0,1676.95,3,906,85
12871.0,363.38,1,284,7
12872.0,3062.52,11,1526,204
12873.0,1653.3,2,658,30
12874.0,948.42,2,623,44
12875.0,1013.76,3,3168,2
12876.0,1863.77,2,1106,70
12877.0,1406.3700000000001,8,1059,76
12880.0,640.13,2,279,32
12887.0,222.4,1,100,13
12889.0,385.46000000000004,4,124,25
12890.0,329.3,1,201,56
12891.0,509.5,8,1375,2
12892.0,263.38,1,140,18
12894.0,157.35,1,33,21
12897.0,297.75,2,139,9
12898.0,296.21000000000004,2,235,27
12899.0,366.4,1,108,17
12900.0,340.33,1,139,13
12903.0,833.53,1,493,41
12905.0,1018.42,2,532,52
12907.0,508.91,2,177,23
12908.0,1026.0,3,1800,1
12909.0,924.52,3,668,49
12910.0,2721.48,5,1940,38
12911.0,1651.72,1,807,220
12913.0,4217.2300000000005,9,1813,26
12914.0,223.98,1,336,9
12915.0,811.1,3,359,40
12916.0,1534.78,3,598,51
12917.0,3765.2,5,984,44
12918.0,10953.5,1,1,1
12920.0,323.86,3,292,32
12921.0,19333.95,39,12182,200
12923.0,597.6,2,162,28
12924.0,1535.7,8,942,37
12925.0,35.28,1,108,5
12926.0,1523.97,4,754,202
12927.0,197.31,1,145,11
12928.0,2242.19,7,1427,62
12931.0,50291.38,42,34902,21
12932.0,1698.56,8,1609,69
12933.0,1029.1,5,450,152
12934.0,181.65,1,31,2
12935.0,2083.16,8,1348,61
12937.0,1593.34,5,976,71
12939.0,13683.0,12,5452,12
12941.0,377.49,1,381,27
12942.0,258.75,1,69,16
12943.0,496.5,2,222,22
12945.0,437.16,1,281,28
12946.0,324.45,1,149,20
12947.0,304.04,1,184,17
12948.0,252.48000000000002,2,224,7
12949.0,11359.48,14,5852,262
12951.0,2149.65,9,1159,83
12953.0,498.96000000000004,1,280,31
12954.0,162.45,1,83,10
12956.0,413.82,3,306,23
12957.0,4689.43,5,2137,221
12958.0,467.34000000000003,2,118,45
12959.0,150.95,1,109,8
12960.0,1322.07,4,1379,49
12961.0,211.99,1,180,37
12963.0,1744.96,5,928,74
12964.0,132.24,1,56,26
12967.0,2646.02,2,834,47
12969.0,122.45,1,55,5
12970.0,1048.77,6,686,174
12971.0,4782.88,33,5298,46
12972.0,1161.2,4,844,69
12973.0,385.55,1,31,6
12974.0,264.15,1,80,24
12975.0,2100.09,6,911,92
12976.0,2417.7799999999997,7,2123,94
12977.0,474.64,3,116,45
12978.0,2502.82,5,1394,126
12979.0,517.7,1,520,56
12980.0,8870.880000000001,12,1024,7
12982.0,2354.27,7,1441,117
12983.0,490.08000000000004,1,638,30
12986.0,2729.84,10,1164,61
12987.0,753.51,3,366,35
12989.0,6627.64,18,3992,11
12990.0,546.0,4,280,6
12991.0,261.06,1,78,14
12992.0,93.35000000000001,1,21,6
12993.0,844.87,4,511,44
12996.0,355.5,1,122,22
12997.0,884.02,4,522,32
12998.0,920.08,3,1124,58
13000.0,497.65000000000003,1,169,31
13001.0,14301.68,20,7958,261
13002.0,293.18,2,128,14
13004.0,5994.94,18,3946,230
13005.0,485.98,2,290,27
13007.0,175.25,1,59,11
13008.0,382.66,2,204,20
13009.0,234.0,1,120,4
13010.0,330.12,2,323,10
13011.0,50.550000000000004,1,13,3
13012.0,1310.99,3,739,54
13013.0,7814.83,18,4239,224
13014.0,1914.8,1,1074,115
13015.0,3240.14,6,1918,156
13018.0,2485.46,7,1311,117
13019.0,1229.95,6,397,46
13020.0,618.96,2,278,38
13021.0,2270.86,8,1194,87
13022.0,65.3,1,35,5
13023.0,759.13,1,299,36
13024.0,555.87,2,181,26
13025.0,323.39,1,241,13
13026.0,757.72,4,846,24
13027.0,10315.2,13,25560,7
13029.0,679.8,2,60,6
13030.0,402.36,1,174,50
13031.0,3292.84,5,2309,275
13032.0,1805.78,7,899,110
13033.0,30.0,1,15,2
13034.0,279.91,2,153,16
13035.0,442.32,1,282,15
13036.0,307.1,1,38,6
13037.0,3033.88,9,1699,155
13039.0,1010.73,4,290,37
13041.0,799.13,4,335,23
13042.0,1488.59,3,812,164
13044.0,4287.58,10,2119,327
13045.0,503.64,2,184,25
13046.0,319.94,1,241,21
13047.0,5557.62,17,2038,119
13048.0,2229.72,5,1433,85
13049.0,751.5600000000001,2,352,10
13050.0,6540.92,19,3449,408
13051.0,155.8,2,72,4
13052.0,2771.18,6,1202,150
13053.0,127.65,1,47,17
13055.0,1106.7,1,927,78
13056.0,209.48,1,158,18
13057.0,709.59,3,456,34
13059.0,2108.37,9,825,152
13063.0,188.4,1,116,12
13064.0,561.25,2,154,19
13065.0,1055.05,5,381,49
13067.0,393.05,2,99,13
13069.0,5185.51,16,9481,421
13070.0,522.9,3,262,11
13071.0,129.22,1,30,12
13073.0,418.08,2,261,25
13074.0,1378.74,4,826,26
13076.0,135.4,1,44,9
13077.0,2326.35,8,1909,144
13078.0,16904.510000000002,32,6553,108
13079.0,199.08,1,96,11
13080.0,222.65,3,73,11
13081.0,30867.77,19,22355,506
13082.0,3722.12,12,4142,48
13083.0,91.67999999999999,1,120,4
13084.0,122.39999999999999,1,144,2
13085.0,2017.2,6,728,33
13086.0,439.33000000000004,1,155,47
13087.0,313.64,1,86,15
13088.0,236.11,1,76,19
13089.0,57765.0,108,29114,474
13090.0,5189.32,13,1181,92
13091.0,1976.0,2,873,24
13092.0,1662.45,7,385,43
13093.0,47111.18,48,22266,172
13094.0,505.8,2,372,5
13096.0,419.70000000000005,1,6,1
13097.0,7320.88,18,2985,278
13101.0,594.21,3,365,41
13102.0,5272.83,14,2372,114
13103.0,465.70000000000005,2,344,21
13104.0,610.62,3,330,5
13105.0,72.0,1,100,1
13106.0,526.96,1,213,15
13107.0,3721.45,5,3023,102
13108.0,748.46,2,745,27
13109.0,347.49,1,237,23
13110.0,1468.8000000000002,5,375,77
13111.0,321.88000000000005,1,180,12
13112.0,20.6,1,11,2
13113.0,6357.08,14,1495,107
13114.0,234.38,1,74,16
13115.0,3199.92,6,2367,136
13117.0,1658.8999999999999,12,1122,90
13118.0,1217.6,4,424,57
13119.0,134.9,1,110,11
13123.0,506.75,2,268,36
13124.0,885.33,1,619,56
13125.0,148.62,1,53,20
13126.0,1898.6100000000001,7,1266,79
13128.0,263.5,1,31,1
13129.0,233.25,2,296,10
13131.0,2240.47,4,1076,94
13133.0,90.65,1,23,5
13134.0,681.65,2,305,21
13135.0,275.45,1,123,17
13136.0,3666.9500000000003,8,1781,140
13137.0,3983.65,8,2034,406
13138.0,504.85,2,245,29
13139.0,3138.04,1,2189,95
13140.0,790.71,3,461,68
13141.0,5267.33,12,3611,231
13143.0,405.1,1,198,23
13144.0,24.4,1,8,3
13145.0,805.0,4,121,2
13148.0,4814.56,14,2522,297
13150.0,449.96999999999997,3,171,7
13151.0,1207.34,2,450,71
13152.0,2146.38,7,977,114
13154.0,1624.84,3,976,78
13155.0,778.42,3,412,68
13156.0,1586.54,3,914,94
13157.0,3946.14,5,3323,121
13158.0,307.12,1,208,21
13161.0,359.38,1,76,25
13162.0,7587.2,12,4042,124
13163.0,17.65,1,3,2
13164.0,372.2,2,120,7
13165.0,429.68,1,360,7
13166.0,458.73,1,306,27
13167.0,333.82,1,222,16
13168.0,541.14,1,228,45
13169.0,127.2,1,24,5
13172.0,69.6,1,48,1
13173.0,2212.11,10,1318,147
13174.0,6621.6,10,3116,538
13175.0,831.45,2,423,40
13177.0,229.75,1,89,13
13178.0,8333.72,10,5208,160
13179.0,572.3100000000001,1,368,34
13180.0,86.10000000000001,1,42,4
13181.0,359.69,1,171,19
13183.0,3078.4,6,1819,31
13187.0,105.34,3,201,14
13190.0,570.66,3,308,16
13191.0,164.21,1,115,58
13192.0,1646.6399999999999,4,1034,92
13194.0,412.08,1,300,7
13195.0,136.73,1,70,43
13196.0,1271.06,3,782,74
13197.0,373.01000000000005,1,204,19
13198.0,1572.99,2,801,81
13199.0,6615.77,30,5843,26
13201.0,1233.06,4,1036,65
13202.0,1580.3,7,572,55
13203.0,1778.79,6,1613,106
13204.0,966.6600000000001,1,428,57
13205.0,2803.2,1,256,1
13206.0,8308.19,13,7086,393
13207.0,285.6,2,48,4
13208.0,758.65,3,540,92
13209.0,2617.9,5,1528,42
13211.0,1523.3500000000001,7,1011,75
13213.0,2330.94,6,1602,109
13214.0,3264.23,7,2966,207
13215.0,81.6,1,96,1
13217.0,132.5,1,250,1
13219.0,76.23,1,11,11
13220.0,516.8,1,200,32
13222.0,88.5,1,30,1
13223.0,805.9200000000001,4,480,4
13225.0,9796.23,9,3985,50
13226.0,204.25,1,99,12
13230.0,3457.83,17,1915,406
13233.0,571.34,2,600,33
13234.0,346.5,2,159,56
13237.0,643.0,1,128,24
13238.0,305.9,2,144,11
13239.0,1265.1299999999999,4,824,69
13240.0,1036.21,5,542,133
13241.0,112.53,1,46,40
13242.0,429.0,4,220,12
13243.0,635.26,4,322,121
13245.0,558.72,1,246,29
13246.0,1390.23,5,1209,166
13249.0,897.52,6,700,2
13250.0,253.09,2,107,17
13251.0,252.68,1,215,25
13252.0,399.3,2,134,19
13253.0,1920.71,2,1443,39
13254.0,51.410000000000004,1,43,4
13255.0,504.95,2,340,19
13257.0,149.75,1,33,7
13258.0,336.59999999999997,2,164,5
13259.0,1119.36,8,377,181
13262.0,373.16,2,122,38
13263.0,1248.8700000000001,4,604,137
13264.0,722.5600000000001,1,375,38
13266.0,2300.78,7,2409,83
13267.0,5236.77,18,2135,106
13269.0,3545.47,14,3050,107
13270.0,590.0,1,200,1
13274.0,360.85,1,199,19
13275.0,238.86,2,138,48
13276.0,1300.98,3,679,184
13277.0,264.9,3,206,7
13278.0,893.12,3,821,48
13280.0,1494.87,4,971,113
13281.0,350.85,1,201,22
13282.0,181.05,1,103,14
13283.0,279.7,2,114,13
13285.0,655.47,2,406,42
13286.0,734.91,1,274,46
13287.0,781.59,3,429,46
13288.0,927.61,5,379,7
13289.0,307.95,1,119,16
13290.0,208.63,1,1,1
13291.0,2909.68,10,1367,134
13292.0,415.57,3,183,28
13293.0,1192.94,6,555,51
13294.0,815.79,1,543,48
13295.0,900.77,3,651,49
13296.0,705.11,5,575,46
13297.0,2278.77,3,1731,58
13299.0,1076.2,2,386,56
13300.0,913.62,2,252,29
13302.0,95.45,1,7,2
13303.0,61.72,1,26,4
13304.0,917.57,3,478,48
13305.0,1751.75,7,1128,110
13306.0,53.65,1,74,4
13307.0,258.34,2,136,14
13308.0,284.86,1,230,17
13309.0,249.58,1,370,23
13310.0,409.17,2,229,23
13312.0,124.75,1,41,5
13313.0,1890.0,7,1457,78
13315.0,310.26,1,232,22
13316.0,7207.89,6,14423,69
13317.0,4212.411,13,2114,151
13319.0,11236.95,34,4546,221
13320.0,679.4,2,423,37
13324.0,3391.52,8,3243,23
13326.0,281.76,1,140,13
13327.0,6251.71,14,2879,132
13329.0,4323.97,7,3023,60
13330.0,1655.17,3,1200,53
13331.0,262.4,1,54,12
13333.0,1015.74,3,685,54
13334.0,2699.48,2,1434,177
13337.0,1575.26,1,980,87
13338.0,1958.6,3,895,101
13340.0,11364.08,5,3866,77
13346.0,299.4,6,180,4
13357.0,3196.11,4,1791,240
13359.0,603.75,1,220,33
13360.0,1553.65,4,942,58
13361.0,1450.5,2,324,29
13362.0,2303.33,3,1099,106
13363.0,731.36,1,436,42
13367.0,510.20000000000005,1,253,20
13368.0,498.1,2,279,22
13369.0,308.28000000000003,1,149,14
13370.0,754.87,1,343,39
13371.0,2297.66,2,1019,75
13373.0,4274.94,3,2612,184
13374.0,422.8,2,135,17
13375.0,1013.58,1,682,34
13377.0,1552.88,2,748,71
13380.0,62.4,1,48,3
13381.0,4585.06,6,3096,112
13382.0,1164.59,4,732,61
13383.0,305.28000000000003,1,288,1
13384.0,2528.9,4,1720,81
13386.0,835.46,2,514,24
13387.0,186.94,1,123,71
13388.0,508.55,1,419,34
13392.0,91.14,1,82,8
13393.0,1131.45,4,662,53
13394.0,4101.68,11,2962,167
13395.0,872.51,2,1324,56
13397.0,1647.74,5,906,47
13398.0,213.0,1,60,13
13399.0,275.4,3,120,10
13400.0,310.83,1,284,23
13402.0,913.9000000000001,3,628,43
13403.0,154.5,2,70,6
13405.0,641.36,3,690,14
13406.0,568.92,2,292,7
13407.0,2244.7,3,1690,85
13408.0,23616.422,46,13267,172
13410.0,1198.9,4,726,18
13412.0,487.34999999999997,1,176,33
13413.0,429.44,6,455,38
13414.0,1103.64,3,1128,27
13415.0,784.17,4,496,85
13416.0,228.3,1,66,7
13417.0,1028.66,4,370,35
13418.0,6055.47,15,3670,167
13421.0,2225.04,6,1223,124
13423.0,217.03,1,141,12
13424.0,572.77,1,529,40
13425.0,1766.22,2,1235,86
13426.0,4526.06,12,2623,106
13427.0,423.93,3,335,18
13428.0,276.76,2,205,66
13431.0,2047.14,6,898,74
13432.0,439.1,2,217,98
13433.0,658.3199999999999,4,190,22
13434.0,1132.6200000000001,3,564,14
13435.0,637.44,2,625,40
13438.0,46.5,1,10,1
13439.0,702.9,2,710,101
13440.0,1295.25,7,573,49
13441.0,424.26,1,316,25
13442.0,419.87,3,115,33
13443.0,1273.16,6,805,176
13444.0,619.08,2,331,51
13445.0,241.89999999999998,1,198,7
13446.0,3881.89,11,2403,113
13448.0,5655.2,9,2709,249
13450.0,2076.32,7,2336,39
13451.0,4191.8,6,3101,363
13452.0,139.8,1,4,1
13453.0,424.71,1,207,23
13454.0,219.87,1,198,23
13455.0,1847.59,5,631,70
13457.0,148.22,2,96,9
13458.0,2312.7,2,1252,94
13459.0,1160.4099999999999,2,986,57
13461.0,2715.0,3,1962,25
13462.0,1002.35,4,635,55
13464.0,2422.96,5,1037,95
13465.0,931.12,2,584,34
13466.0,705.45,4,401,34
13468.0,7670.54,38,3223,208
13469.0,82.4,1,52,6
13472.0,592.24,2,310,24
13473.0,2235.12,6,734,44
13474.0,419.75,2,189,62
13476.0,823.0,3,296,38
13477.0,1364.59,5,1070,65
13478.0,2215.78,5,1189,114
13479.0,550.42,2,582,34
13480.0,627.82,2,362,40
13481.0,2026.28,6,913,87
13482.0,151.45,1,71,9
13484.0,476.92,2,180,31
13485.0,2564.98,10,1521,118
13487.0,271.47,2,97,11
13488.0,6619.57,11,3373,186
13490.0,154.25,1,25,8
13491.0,3350.7400000000002,18,1482,102
13495.0,3329.39,6,1845,49
13497.0,972.28,5,416,45
13498.0,327.38,1,362,17
13500.0,299.53,1,229,20
13501.0,1544.79,2,693,52
13502.0,488.5,2,226,14
13503.0,1642.39,5,857,148
13506.0,1180.68,4,850,48
13508.0,176.07999999999998,1,156,16
13509.0,135.0,1,108,5
13510.0,2766.73,7,1658,126
13511.0,282.76,1,60,5
13512.0,462.18,3,276,20
13513.0,619.49,2,255,24
13514.0,663.7,3,248,13
13515.0,374.7,2,138,17
13516.0,295.85,1,129,17
13519.0,220.46,1,110,11
13520.0,3285.05,6,1640,62
13523.0,1136.64,2,602,57
13526.0,1204.08,2,1911,29
13527.0,2298.93,5,1053,152
13530.0,402.97999999999996,1,272,18
13531.0,1254.72,5,426,42
13534.0,1850.82,10,908,59
13535.0,89.5,1,10,1
13537.0,717.85,2,337,38
13538.0,1822.28,5,784,102
13539.0,938.02,4,390,45
13540.0,632.39,3,189,26
13541.0,785.25,2,279,10
13542.0,3959.4900000000002,17,804,98
13543.0,1439.61,2,329,37
13544.0,514.14,4,219,152
13545.0,364.93,2,252,54
13546.0,465.15,2,230,47
13547.0,167.08,1,79,44
13548.0,223.28,1,122,61
13549.0,87.6,1,96,8
13550.0,342.55,1,430,40
13551.0,152.39999999999998,1,24,1
13552.0,3208.85,10,1213,87
13553.0,499.6,1,201,85
13554.0,1629.35,7,578,156
13555.0,4814.16,9,2126,175
13556.0,200.82,2,134,8
13557.0,2448.2,11,1852,107
13559.0,990.0,2,360,1
13561.0,1661.54,10,1042,120
13562.0,3038.85,5,846,65
13564.0,15707.39,35,8497,479
13565.0,174.57999999999998,1,88,22
13566.0,831.76,3,690,159
13567.0,1079.29,4,643,180
13569.0,497.74,3,232,103
13571.0,2448.32,14,1434,158
13573.0,614.27,4,345,52
13574.0,404.45,1,304,84
13576.0,4834.400000000001,11,1968,98
13577.0,1801.68,7,870,58
13578.0,147.66,1,127,9
13579.0,1072.0,4,588,62
13580.0,107.75,1,45,5
13581.0,162.53,1,89,23
13582.0,241.68,2,106,10
13583.0,664.001,1,372,43
13584.0,243.3,2,323,55
13585.0,684.54,3,1386,29
13586.0,127.28,1,38,20
13587.0,961.1,3,484,20
13589.0,741.09,4,179,29
13590.0,4354.12,12,3423,225
13591.0,976.8100000000001,4,365,42
13593.0,3481.41,9,1451,174
13594.0,136.35000000000002,1,37,7
